"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Female"	"F"	Suppressed	3367	Suppressed
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Male"	"M"	17	3264	Unreliable
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	2855	Suppressed
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Male"	"M"	13	2867	Unreliable
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Female"	"F"	11	2734	Unreliable
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	20	2489	803.5
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	12	2268	Unreliable
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Male"	"M"	32	2268	1410.9
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	1479	Suppressed
	"Berks County, PA"	"42011"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Male"	"M"	28	1577	1775.5
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Female"	"F"	0	54	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Male"	"M"	0	83	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Female"	"F"	0	52	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Male"	"M"	Suppressed	80	Suppressed
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Female"	"F"	0	46	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Male"	"M"	0	65	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	27	Suppressed
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Male"	"M"	Suppressed	44	Suppressed
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Female"	"F"	0	36	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	0	57	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	0	17	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Male"	"M"	0	36	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	0	24	Unreliable
	"Blair County, PA"	"42013"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Male"	"M"	0	34	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Female"	"F"	0	45	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Male"	"M"	0	41	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Female"	"F"	0	37	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Male"	"M"	0	54	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Female"	"F"	0	31	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Male"	"M"	0	36	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Female"	"F"	0	26	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Male"	"M"	0	21	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Female"	"F"	0	15	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	26	Suppressed
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	0	20	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Male"	"M"	0	17	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	0	17	Unreliable
	"Bradford County, PA"	"42015"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Male"	"M"	0	25	Unreliable
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Female"	"F"	Suppressed	1325	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	1494	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Female"	"F"	Suppressed	1499	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"35-39 years"	"35-39"	"Male"	"M"	Suppressed	1786	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Female"	"F"	Suppressed	1481	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"40-44 years"	"40-44"	"Male"	"M"	Suppressed	1707	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	1347	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"45-49 years"	"45-49"	"Male"	"M"	Suppressed	1355	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Female"	"F"	Suppressed	1096	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	1290	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Female"	"F"	Suppressed	908	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	960	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	701	Suppressed
	"Bucks County, PA"	"42017"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"60-64 years "	"60-64"	"Male"	"M"	Suppressed	672	Suppressed
	"Butler County, PA"	"42019"	"Hispanic or Latino"	"2135-2"	"2021"	"2021"	"30-34 years"	"30-34"	"Female"	"F"	0	129	Unreliable
